Date : 2021-09-04 17:41:55
Directory : /Users/xiaoyn/Desktop/workingFiles/project180007
Total : 134 files,  22607 codes, 477 comments, 2275 blanks, all 25359 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src/appCore/locales/lang/zh-CN                                                                                    |          3 |        108 |          0 |          3 |        111 |
| src/appCore/router                                                                                                |          2 |        116 |         47 |         16 |        179 |
| src/appCore/store                                                                                                 |          9 |        351 |         26 |         40 |        417 |
| src/appCore/store/modules                                                                                         |          4 |        263 |         26 |         24 |        313 |
| src/appCore/utils                                                                                                 |          7 |        284 |         24 |         43 |        351 |
| src/assets                                                                                                        |          1 |         68 |          1 |          0 |         69 |
| src/components                                                                                                    |          1 |         77 |          1 |          6 |         84 |
| src/components/Uploader                                                                                           |          1 |         77 |          1 |          6 |         84 |
| src/config                                                                                                        |          2 |        323 |         12 |          7 |        342 |
| src/mock                                                                                                          |          9 |      1,330 |         21 |         85 |      1,436 |
| src/mock/services                                                                                                 |          6 |      1,034 |         18 |         77 |      1,129 |
| src/store                                                                                                         |          2 |         42 |          3 |         12 |         57 |
| src/store/modules                                                                                                 |          1 |         22 |          0 |          4 |         26 |
| src/views                                                                                                         |         49 |      7,013 |        116 |        232 |      7,361 |
| src/views/assests                                                                                                 |          6 |      1,075 |         27 |         29 |      1,131 |
| src/views/assests/components                                                                                      |          2 |        213 |          1 |          5 |        219 |
| src/views/assests/utils                                                                                           |          1 |         12 |          0 |          1 |         13 |
| src/views/configuration                                                                                           |         15 |      2,488 |         33 |         63 |      2,584 |
| src/views/configuration/components                                                                                |          9 |      1,214 |         14 |         33 |      1,261 |
| src/views/configuration/utils                                                                                     |          2 |         31 |          2 |          3 |         36 |
| src/views/dashboard                                                                                               |          1 |        220 |          0 |          6 |        226 |
| src/views/diagnosis                                                                                               |         16 |      2,200 |         34 |         86 |      2,320 |
| src/views/diagnosis/components                                                                                    |          9 |        907 |         17 |         56 |        980 |
| src/views/diagnosis/utils                                                                                         |          1 |         16 |          0 |          2 |         18 |
| src/views/exception                                                                                               |          3 |         57 |          0 |          6 |         63 |
| src/views/task                                                                                                    |          3 |        599 |         15 |         16 |        630 |
| src/views/task/components                                                                                         |          2 |        195 |          2 |          9 |        206 |
| src/views/user                                                                                                    |          1 |        191 |          3 |         15 |        209 |
| src/views/utils                                                                                                   |          3 |        171 |          4 |          7 |        182 |
| tests                                                                                                             |          1 |          5 |          0 |          1 |          6 |
| tests/unit                                                                                                        |          1 |          5 |          0 |          1 |          6 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                          | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/xiaoyn/Desktop/workingFiles/project180007/.eslintrc.js                                                     | JavaScript |         75 |          0 |          1 |         76 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/.eslintrc.json                                                   | JSON       |          5 |          0 |          1 |          6 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/README.zh-CN.md                                                  | Markdown   |         37 |          0 |         18 |         55 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/babel.config.js                                                  | JavaScript |         24 |          3 |          4 |         31 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/config/plugin.config.js                                          | JavaScript |         42 |          3 |          5 |         50 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/config/themePluginConfig.js                                      | JavaScript |        114 |          0 |          2 |        116 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/deploy/nginx.conf                                                | Properties |         18 |          6 |          5 |         29 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/jest.config.js                                                   | JavaScript |         20 |          4 |          0 |         24 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/jsconfig.json                                                    | JSON       |          8 |          3 |          1 |         12 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/package.json                                                     | JSON       |         65 |          0 |          1 |         66 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/postcss.config.js                                                | JavaScript |          5 |          0 |          1 |          6 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/public/index.html                                                | HTML       |         25 |          0 |          1 |         26 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/api/assest.js                                                | JavaScript |        138 |          4 |         11 |        153 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/api/check.js                                                 | JavaScript |        110 |         17 |          4 |        131 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/api/configuration.js                                         | JavaScript |        114 |         15 |          5 |        134 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/api/diagnosis.js                                             | JavaScript |        130 |         29 |          3 |        162 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/api/login.js                                                 | JavaScript |         42 |          0 |          6 |         48 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/api/management.js                                            | JavaScript |         39 |          4 |          7 |         50 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/api/task.js                                                  | JavaScript |         83 |         18 |          5 |        106 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/App.vue                                              | Vue        |         24 |          0 |          4 |         28 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/components/GlobalFooter/index.vue                    | Vue        |         26 |          0 |          3 |         29 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/components/GlobalHeader/AvatarDropdown.vue           | Vue        |         93 |          3 |          4 |        100 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/components/GlobalHeader/ChangePasswordModal.vue      | Vue        |         76 |          1 |          2 |         79 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/components/GlobalHeader/DecodeKey.vue                | Vue        |         76 |          1 |          2 |         79 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/components/GlobalHeader/RightContent.vue             | Vue        |         52 |          0 |          3 |         55 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/components/NProgress/nprogress.less                  | Less       |         59 |          3 |         15 |         77 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/components/_util/util.js                             | JavaScript |         26 |         17 |          4 |         47 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/components/index.less                                | Less       |          4 |          1 |          1 |          6 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/config/defaultSettings.js                            | JavaScript |         17 |         14 |          3 |         34 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/core/bootstrap.js                                    | JavaScript |         25 |          1 |          3 |         29 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/core/directives/action.js                            | JavaScript |         19 |         13 |          3 |         35 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/core/lazy_use.js                                     | JavaScript |        102 |          2 |          7 |        111 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/core/permission/permission.js                        | JavaScript |         46 |          5 |          5 |         56 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/global.less                                          | Less       |        132 |          3 |         19 |        154 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/layouts/BasicLayout.less                             | Less       |         29 |          0 |          8 |         37 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/layouts/BasicLayout.vue                              | Vue        |        121 |         15 |          9 |        145 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/layouts/BlankLayout.vue                              | Vue        |         12 |          0 |          5 |         17 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/layouts/PageView.vue                                 | Vue        |         10 |          0 |          3 |         13 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/layouts/RouteView.vue                                | Vue        |         29 |          0 |          2 |         31 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/layouts/UserLayout.vue                               | Vue        |        148 |          0 |         22 |        170 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/layouts/index.js                                     | JavaScript |          6 |          0 |          2 |          8 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/locales/index.js                                     | JavaScript |         46 |          3 |         11 |         60 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/locales/lang/zh-CN.js                                | JavaScript |         20 |          0 |          5 |         25 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/locales/lang/zh-CN/global.js                         | JavaScript |          6 |          0 |          1 |          7 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/locales/lang/zh-CN/menu.js                           | JavaScript |         59 |          0 |          1 |         60 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/locales/lang/zh-CN/user.js                           | JavaScript |         43 |          0 |          1 |         44 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/permission.js                                        | JavaScript |         64 |         16 |          5 |         85 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/router/generator-routers.js                          | JavaScript |        103 |         45 |         12 |        160 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/router/index.js                                      | JavaScript |         13 |          2 |          4 |         19 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/store/app-mixin.js                                   | JavaScript |         29 |          0 |          4 |         33 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/store/device-mixin.js                                | JavaScript |          9 |          0 |          3 |         12 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/store/getters.js                                     | JavaScript |         15 |          0 |          2 |         17 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/store/i18n-mixin.js                                  | JavaScript |         14 |          0 |          3 |         17 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/store/modules/app.js                                 | JavaScript |         96 |          1 |          3 |        100 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/store/modules/async-router.js                        | JavaScript |         26 |          3 |          3 |         32 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/store/modules/permission.js                          | JavaScript |         57 |         16 |          6 |         79 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/store/modules/user.js                                | JavaScript |         84 |          6 |         12 |        102 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/store/mutation-types.js                              | JavaScript |         21 |          0 |          4 |         25 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/utils/axios.js                                       | JavaScript |         29 |          0 |          5 |         34 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/utils/domUtil.js                                     | JavaScript |         18 |          1 |          3 |         22 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/utils/filter.js                                      | JavaScript |         17 |          0 |          4 |         21 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/utils/request.js                                     | JavaScript |         78 |          9 |          9 |         96 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/utils/routeConvert.js                                | JavaScript |         20 |          1 |         10 |         31 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/utils/util.js                                        | JavaScript |         76 |         11 |         10 |         97 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/appCore/utils/utils.less                                     | Less       |         46 |          2 |          2 |         50 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/assets/background.svg                                        | XML        |         68 |          1 |          0 |         69 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/components/Uploader/index.vue                                | Vue        |         77 |          1 |          6 |         84 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/config/defaultSettings.js                                    | JavaScript |          3 |          1 |          1 |          5 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/config/router.config.js                                      | JavaScript |        320 |         11 |          6 |        337 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/main.js                                                      | JavaScript |         28 |          7 |          8 |         43 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/mock/index.js                                                | JavaScript |         16 |          2 |          3 |         21 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/mock/services/assest.js                                      | JavaScript |        131 |          0 |         17 |        148 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/mock/services/auth.js                                        | JavaScript |         36 |          0 |          8 |         44 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/mock/services/configuration.js                               | JavaScript |        325 |          0 |          5 |        330 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/mock/services/diagnosis.js                                   | JavaScript |        264 |          3 |         19 |        286 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/mock/services/management.js                                  | JavaScript |        104 |         13 |         11 |        128 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/mock/services/task.js                                        | JavaScript |        174 |          2 |         17 |        193 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/mock/topoTestJson.js                                         | JavaScript |        245 |          1 |          1 |        247 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/mock/util.js                                                 | JavaScript |         35 |          0 |          4 |         39 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/store/index.js                                               | JavaScript |         20 |          3 |          8 |         31 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/store/modules/host.js                                        | JavaScript |         22 |          0 |          4 |         26 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/404.vue                                                | Vue        |         12 |          0 |          4 |         16 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/assests/HostEdition.vue                                | Vue        |        195 |          6 |          5 |        206 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/assests/HostGroupManagement.vue                        | Vue        |        342 |         17 |         10 |        369 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/assests/HostManagement.vue                             | Vue        |        313 |          3 |          8 |        324 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/assests/components/AddHostGroupModal.vue               | Vue        |         90 |          1 |          2 |         93 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/assests/components/HostDetailDrawer.vue                | Vue        |        123 |          0 |          3 |        126 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/assests/utils/getSelectedRow.js                        | JavaScript |         12 |          0 |          1 |         13 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/configuration/DiffTest.vue                             | Vue        |        246 |          5 |          4 |        255 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/configuration/QueryHostList.vue                        | Vue        |        400 |          3 |         10 |        413 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/configuration/TranscationDomainConfigurations.vue      | Vue        |        437 |          7 |          7 |        451 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/configuration/TranscationDomainManagement.vue          | Vue        |        160 |          2 |          6 |        168 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/configuration/components/AddConfigurationDrawer.vue    | Vue        |        240 |          2 |          3 |        245 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/configuration/components/AddDomainModal.vue            | Vue        |         78 |          1 |          2 |         81 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/configuration/components/AddHostDrawer.vue             | Vue        |        210 |          3 |          2 |        215 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/configuration/components/AddTranscationDomainModal.vue | Vue        |        102 |          2 |          2 |        106 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/configuration/components/CompareDiffView.vue           | Vue        |         92 |          0 |          4 |         96 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/configuration/components/DomainSelectionModal.vue      | Vue        |         74 |          1 |          2 |         77 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/configuration/components/GetDomainStatusDrawer.vue     | Vue        |        113 |          0 |          6 |        119 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/configuration/components/QueryExpectConfsDrawer.vue    | Vue        |         89 |          3 |          5 |         97 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/configuration/components/QueryRealConfsDrawer.vue      | Vue        |        216 |          2 |          7 |        225 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/configuration/utils/compareContent.js                  | JavaScript |          8 |          0 |          1 |          9 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/configuration/utils/statusCheckTools.js                | JavaScript |         23 |          2 |          2 |         27 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/dashboard/Dashboard.vue                                | Vue        |        220 |          0 |          6 |        226 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/diagnosis/AbnormalCheck.vue                            | Vue        |        252 |          1 |          7 |        260 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/diagnosis/DiagReport.vue                               | Vue        |        144 |          1 |          3 |        148 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/diagnosis/FaultDiagnosis.vue                           | Vue        |        392 |         13 |          4 |        409 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/diagnosis/FaultTrees.vue                               | Vue        |        151 |          2 |          4 |        157 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/diagnosis/NetworkTopoDiagram.vue                       | Vue        |        100 |          0 |          3 |        103 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/diagnosis/RuleManagement.vue                           | Vue        |        238 |          0 |          7 |        245 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/diagnosis/components/AddAbnormalCheckRuleDrawer.vue    | Vue        |         95 |          1 |          5 |        101 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/diagnosis/components/AddFaultDiagnosis.vue             | Vue        |        149 |          1 |          4 |        154 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/diagnosis/components/AddFaultTree.vue                  | Vue        |         81 |          1 |          4 |         86 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/diagnosis/components/CardInfo.vue                      | Vue        |         49 |          0 |          6 |         55 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/diagnosis/components/CheckResultExpanded.vue           | Vue        |         45 |          0 |          4 |         49 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/diagnosis/components/FaultTree.vue                     | Vue        |        253 |         10 |         12 |        275 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/diagnosis/components/FaultTreeGraph.vue                | Vue        |         13 |          0 |          5 |         18 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/diagnosis/components/GetCheckResultDrawer.vue          | Vue        |         72 |          1 |          4 |         77 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/diagnosis/components/NetworkTopo.vue                   | Vue        |        150 |          3 |         12 |        165 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/diagnosis/utils/treeDataProcesser.js                   | JavaScript |         16 |          0 |          2 |         18 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/exception/403.vue                                      | Vue        |         19 |          0 |          2 |         21 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/exception/404.vue                                      | Vue        |         19 |          0 |          2 |         21 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/exception/500.vue                                      | Vue        |         19 |          0 |          2 |         21 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/task/TaskManagement.vue                                | Vue        |        404 |         13 |          7 |        424 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/task/components/AddTask.vue                            | Vue        |        112 |          1 |          5 |        118 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/task/components/AddTemplate.vue                        | Vue        |         83 |          1 |          4 |         88 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/user/Login.vue                                         | Vue        |        191 |          3 |         15 |        209 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/utils/DrawerView.vue                                   | Vue        |        105 |          2 |          2 |        109 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/utils/MyPageHeaderWrapper.vue                          | Vue        |         41 |          1 |          3 |         45 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/src/views/utils/Utils.js                                         | JavaScript |         25 |          1 |          2 |         28 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/tests/unit/.eslintrc.js                                          | JavaScript |          5 |          0 |          1 |          6 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/vue.config.js                                                    | JavaScript |        127 |         15 |         13 |        155 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/webstorm.config.js                                               | JavaScript |          3 |          0 |          1 |          4 |
| /Users/xiaoyn/Desktop/workingFiles/project180007/yarn-error.log                                                   | Log        |     10,376 |          0 |      1,577 |     11,953 |
| Total                                                                                                             |            |     22,607 |        477 |      2,275 |     25,359 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
